%OpenBCI Raw EXG Data
%Number of channels = 8
%Sample Rate = 250 Hz
%Board = OpenBCI_GUI$BoardCytonSerial
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
128.0, 40430.48357134862, 18751.28075495729, -187500.02235174447, -187500.02235174447, 29460.4038548951, -187500.02235174447, 10960.759039015657, -104014.66983731627, -0.18, 0.9560000000000001, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6961093601944337E9, 0.0, 2023-09-30 16:29:20.194
129.0, 40404.30967859145, 18743.055312997738, -187500.02235174447, -187500.02235174447, 29518.630149201173, -187500.02235174447, 11041.717057432777, -103807.58092493784, -0.18, 0.9560000000000001, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6961093601944442E9, 0.0, 2023-09-30 16:29:20.194
130.0, 40360.29909375896, 18747.548013633255, -187500.02235174447, -187500.02235174447, 29480.207500482502, -187500.02235174447, 10976.852295023476, -103893.88101027979, -0.182, 0.98, -0.004, 192.0, 250.0, 80.0, 30.0, 160.0, 255.0, 224.0, 0.0, 0.0, 0.0, 1.6961093601944554E9, 0.0, 2023-09-30 16:29:20.194
131.0, 40399.32523957792, 18759.685010872487, -187500.02235174447, -187500.02235174447, 29408.167828103047, -187500.02235174447, 10888.67466314729, -104125.53448981458, -0.182, 0.98, -0.004, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.696109360194467E9, 0.0, 2023-09-30 16:29:20.194
132.0, 40464.726443854146, 18779.600415182165, -187500.02235174447, -187500.02235174447, 29447.73041578894, -187500.02235174447, 10925.823262432012, -104078.93110262527, -0.182, 0.98, -0.004, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.696109360194478E9, 0.0, 2023-09-30 16:29:20.194
133.0, 40432.04819346049, 18773.565444179232, -187500.02235174447, -187500.02235174447, 29490.534006420854, -187500.02235174447, 11000.835716824022, -103892.02581549, -0.182, 0.98, -0.004, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6961093601944895E9, 0.0, 2023-09-30 16:29:20.194
134.0, 40408.40004782678, 18766.65875514254, -187500.02235174447, -187500.02235174447, 29464.69538983052, -187500.02235174447, 10979.758021802667, -103903.55931562893, -0.182, 0.98, -0.004, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6961093601945004E9, 0.0, 2023-09-30 16:29:20.194
135.0, 40408.601213526876, 18769.20685401045, -187500.02235174447, -187500.02235174447, 29366.638286905087, -187500.02235174447, 10865.138276235852, -104174.08247877151, -0.182, 0.98, -0.004, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.696109360194512E9, 0.0, 2023-09-30 16:29:20.194
136.0, 40455.27165594955, 18771.017345311328, -187500.02235174447, -187500.02235174447, 29420.01425266436, -187500.02235174447, 10909.126509323896, -104143.2817749121, -0.182, 0.98, -0.004, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6961093601945236E9, 0.0, 2023-09-30 16:29:20.194
137.0, 40446.73328956763, 18774.32540349071, -187500.02235174447, -187500.02235174447, 29496.16664602359, -187500.02235174447, 10995.538353388114, -103947.68165918371, -0.182, 0.98, -0.004, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6961093601945364E9, 0.0, 2023-09-30 16:29:20.194
138.0, 40387.411759783245, 18771.91141508954, -187500.02235174447, -187500.02235174447, 29486.421285441076, -187500.02235174447, 11005.306065715084, -103893.70219632414, -0.182, 0.98, -0.004, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.696109360194547E9, 0.0, 2023-09-30 16:29:20.194
